Rooms,Month,Year
501,Jan.,2008
488,Feb.,2008
504,Mar.,2008
578,Apr.,2008
545,May,2008
632,June,2008
728,July,2008
725,Aug.,2008
585,Sept.,2008
542,Oct.,2008
480,Nov.,2008
530,Dec.,2008
518,Jan.,2009
489,Feb.,2009
528,Mar.,2009
599,Apr.,2009
572,May,2009
659,June,2009
739,July,2009
758,Aug.,2009
602,Sept.,2009
587,Oct.,2009
497,Nov.,2009
558,Dec.,2009
555,Jan.,2010
523,Feb.,2010
532,Mar.,2010
623,Apr.,2010
598,May,2010
683,June,2010
774,July,2010
780,Aug.,2010
609,Sept.,2010
604,Oct.,2010
531,Nov.,2010
592,Dec.,2010
578,Jan.,2011
543,Feb.,2011
565,Mar.,2011
648,Apr.,2011
615,May,2011
697,June,2011
785,July,2011
830,Aug.,2011
645,Sept.,2011
643,Oct.,2011
551,Nov.,2011
606,Dec.,2011
585,Jan.,2012
553,Feb.,2012
576,Mar.,2012
665,Apr.,2012
656,May,2012
720,June,2012
826,July,2012
838,Aug.,2012
652,Sept.,2012
661,Oct.,2012
584,Nov.,2012
644,Dec.,2012
623,Jan.,2013
553,Feb.,2013
599,Mar.,2013
657,Apr.,2013
680,May,2013
759,June,2013
878,July,2013
881,Aug.,2013
705,Sept.,2013
684,Oct.,2013
577,Nov.,2013
656,Dec.,2013
645,Jan.,2014
593,Feb.,2014
617,Mar.,2014
686,Apr.,2014
679,May,2014
773,June,2014
906,July,2014
934,Aug.,2014
713,Sept.,2014
710,Oct.,2014
600,Nov.,2014
676,Dec.,2014
645,Jan.,2015
602,Feb.,2015
601,Mar.,2015
709,Apr.,2015
706,May,2015
817,June,2015
930,July,2015
983,Aug.,2015
745,Sept.,2015
735,Oct.,2015
620,Nov.,2015
698,Dec.,2015
665,Jan.,2016
626,Feb.,2016
649,Mar.,2016
740,Apr.,2016
729,May,2016
824,June,2016
937,July,2016
994,Aug.,2016
781,Sept.,2016
759,Oct.,2016
643,Nov.,2016
728,Dec.,2016
691,Jan.,2017
649,Feb.,2017
656,Mar.,2017
735,Apr.,2017
748,May,2017
837,June,2017
995,July,2017
1040,Aug.,2017
809,Sept.,2017
793,Oct.,2017
692,Nov.,2017
763,Dec.,2017
723,Jan.,2018
655,Feb.,2018
658,Mar.,2018
761,Apr.,2018
768,May,2018
885,June,2018
1067,July,2018
1038,Aug.,2018
812,Sept.,2018
790,Oct.,2018
692,Nov.,2018
782,Dec.,2018
758,Jan.,2019
709,Feb.,2019
715,Mar.,2019
788,Apr.,2019
794,May,2019
893,June,2019
1046,July,2019
1075,Aug.,2019
812,Sept.,2019
822,Oct.,2019
714,Nov.,2019
802,Dec.,2019
748,Jan.,2020
731,Feb.,2020
748,Mar.,2020
827,Apr.,2020
788,May,2020
937,June,2020
1076,July,2020
1125,Aug.,2020
840,Sept.,2020
864,Oct.,2020
717,Nov.,2020
813,Dec.,2020
811,Jan.,2021
732,Feb.,2021
745,Mar.,2021
844,Apr.,2021
833,May,2021
935,June,2021
1110,July,2021
1124,Aug.,2021
868,Sept.,2021
860,Oct.,2021
762,Nov.,2021
877,Dec.,2021
